1,12,2,13,3,4,5,6,7,8,9,10
sai,tiga,sai,tiga,sai,sol,sol,sol,buzz,buzz,buzz,tiga
sai,tiga,sai,tiga,sai,sol,sol,sol,buzz,buzz,buzz,tiga
sai,tiga,sai,tiga,sai,sol,sol,sol,buzz,buzz,buzz,tiga
sai,tiga,sai,tiga,sai,sol,sol,sol,buzz,buzz,buzz,tiga
1,12,2,13,3,4,5,6,7,8,9,10
sai,tiga,sai,tiga,sai,sol,sol,sol,buzz,buzz,buzz,buzz
sai,tiga,sai,tiga,sai,sol,sol,sol,buzz,buzz,buzz,buzz
sai,tiga,sai,tiga,sai,sol,sol,sol,buzz,buzz,buzz,buzz
sai,tiga,sai,tiga,sai,sol,sol,sol,buzz,buzz,buzz,buzz
sai,tiga,sai,tiga,sai,sol,sol,sol,buzz,buzz,buzz,buzz
